ID,Human-understandable Difficulty Label,Linguistic Phenomena Tagging,,,,,,,,,,,
,,COREF,Conversational pivots,Quantity/Time reasoning,ANTO,Emotional commonality,Conditional,Nnegation,Quantifier,Belief verbs,Modal,Ending Only,Sentence length
e8f628d5-9f97-40ed-8611-fc0e774673c4,Paraphrasing,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
e17053ac-2046-48c8-a7a2-7b9509c10e64,word,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
736f326b-48ea-439b-821b-6365e38773e9,word,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
caa0244b-9388-409e-b50a-5e305336e540,sentence,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1edf348d-6fce-4ea3-937c-28ade02f28b8,Paraphrasing,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
0fe46de6-6ee3-4932-a578-268917372566,sentence,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
501c6884-8885-4df3-ae8c-f3f9328fde54,Paraphrasing,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,Paraphrasing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
411b9523-5254-41ff-b740-e039d0423201,sentence,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
b8c30925-f572-4ac3-b865-1cba592b6f0c,Paraphrasing,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57d5152a-77db-4156-8330-166edb36b0a2,Paraphrasing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
726a0fc9-8c6f-451e-838b-c48140817dfc,sentence,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
31dd2600-d4c3-4f15-a336-cd0c32237d06,sentence,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7c183d9b-d1fd-414f-8c95-c17132422732,word,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
57f0ad88-0dad-4cce-95da-30175ff0ba40,sentence,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
a5ac20db-ed05-49d7-8960-2035a9dce14d,sentence,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
d10f40c6-f5f0-4273-82e0-90aa22520588,Paraphrasing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49c51e74-be6e-45b9-a223-4c0835ad76c1,word,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
6ab897f0-4f61-40f1-afa6-e9485e44316d,Paraphrasing,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5488ad4e-968e-4113-b3f1-23a27e40e52a,sentence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
e7be4ea9-4bb9-4141-90d5-351d6377c9fc,sentence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1b99f1e5-e8e4-4ae9-b05b-e5c8324e8768,sentence,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9a6318d7-6a3e-4745-bba9-b3754190352a,sentence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
598c2da4-91cb-4adb-8d09-0de672cdebe8,Paraphrasing,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5183072a-7b29-4a2e-80bb-120f3fcd8bda,sentence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
52255569-a048-4098-b40a-a9a96bbc754f,sentence,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
8585d876-38ad-4846-a5b1-3b8fbd3d8f72,Paraphrasing,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
a7dcd6a0-c9a3-4aa0-b2ed-3e80a03b2dc7,word,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
dfeaef6d-d6be-4894-983a-e9484dc3b424,Paraphrasing,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
796ab4ea-12d3-489a-b7e8-fce2b430107c,sentence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60642271-04f8-4129-af92-c0c6bbb206e3,sentence,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
31e7354c-de3a-433b-afcf-fa8885569007,Paraphrasing,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1295799e-8cd2-4da6-91cf-7515acbd14bf,sentence,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78a60b56-2e3a-4fd6-a74f-b5b86f400540,word,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3b754b95-8b0a-4d6c-87f5-158d1de303d9,sentence,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2f14cad7-8f3a-4a54-b7d8-206c515b780f,sentence,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
98181079-1081-48ba-bb83-031bb0046b92,Paraphrasing,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
f2bc4f2e-e7c2-4bea-8fa4-6dd9e0b37474,Paraphrasing,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
71286e60-5403-401d-98a0-9b0eff4cfa8a,word,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
befe024d-d480-42dd-9710-7eb1bdb7ff8a,Paraphrasing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
a8869d8c-54a0-48db-b8ea-7fee53e32008,sentence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
471e2283-f8c4-4e45-9c87-40c815fa73ac,word,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3dcdf416-5329-4190-b492-4b83c3c17d5b,Paraphrasing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
627654fb-5f7e-4272-a114-6310d451f193,sentence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
22a2498f-c807-40bc-9901-49da861f14f1,sentence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
8290bb38-7526-410d-b63b-84b2019d4657,Paraphrasing,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
32075b85-b08a-4503-ac1a-f8d92d2fa29f,Paraphrasing,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
03ba1bda-c31e-4201-92bc-b5b35b3f0aad,sentence,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8a3f1af2-3913-4a4a-a234-136733984d4a,Paraphrasing,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9ee3ad28-6f2c-4706-afac-f819a66d1900,sentence,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
71770122-dc12-4954-84d5-273e789321e3,sentence,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2e80030a-9ade-4fdb-b693-444100733c1b,Paraphrasing,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
c57088f8-7a4e-4826-9d91-2065f345a4ee,sentence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
765b576d-0989-450d-93df-1b2d6c329a0c,Paraphrasing,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
5d10d46d-83a9-4468-9b05-8bdabdc5ea92,sentence,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
b083a25d-a3c3-47be-8879-949b475d13f6,word,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
d35e7dfc-d3cf-40b2-8b67-b92572b74222,Paraphrasing,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
fec30953-c68e-4d9d-9698-384bfe8fe857,sentence,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2b7745a1-9e3a-402d-a806-1eebfb18ad5a,sentence,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
a2878606-f05e-492b-a581-8b00346d40ca,Paraphrasing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
f299c071-0f10-4051-9076-3af05bb94d25,Paraphrasing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
61b5d18b-450c-4fb7-9f50-47d9df3c22eb,sentence,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
82fb301a-8c53-4f8e-bde7-be9b27cfb34b,Paraphrasing,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8174138e-1a0a-45ce-9938-9777526902dd,sentence,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
4aa68faa-46af-4c29-a5af-76920608e42e,sentence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
a8d36862-b0e3-4147-82a3-6ada95cc4939,Paraphrasing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
80898064-5c05-4245-aa6b-5c733567d5c5,sentence,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3f51b45f-8dfc-4020-ae9c-83dbe0c2009a,Paraphrasing,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
a2af46c3-ab6c-4b15-b3e4-205b55d5dd76,Paraphrasing,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
dc60a861-f7c4-491a-9f98-ffaaf73d4b32,Paraphrasing,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
27e6ed53-de20-4969-ac97-d1c767e66e8b,sentence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26e62478-4a62-4f71-8449-26edcf3905c0,sentence,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
ba6be46b-029c-49d7-a56b-f8ec2f6f774a,word,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
970cf7ed-b730-41a8-9675-85790da3004e,Paraphrasing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3c9de9fe-20e8-4b46-b795-f474a6cc1ccb,Paraphrasing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
3f7f71e4-82a7-4ad4-8bb1-4a02e11cb1b9,sentence,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0a17cbf9-397b-4382-9ce0-0fd835626775,Paraphrasing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
beb8a610-250a-4f87-98ec-0bd59bbd472e,sentence,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
dce8a563-9c78-4ace-8ca1-3e1b6fd2b1b6,sentence,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
cf7775ef-c8ba-4ed9-8599-3dbadf7621b7,sentence,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
e4724aa4-c974-43b9-902b-9e0a50e21465,sentence,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0edacb01-c9c8-4f8e-bf3f-f43518f03213,Paraphrasing,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
424f971e-837d-4cae-a7cb-80d6aea40b1a,sentence,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9fdef8c0-2910-4eb7-8f79-979dea4b7aa1,Paraphrasing,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
c761de18-82df-47ad-a7ba-1e97533a2406,Paraphrasing,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1a4ca91d-6bae-4a04-b605-b9a645099621,sentence,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
64f920dc-a877-4397-9b07-f144432fa0ca,Paraphrasing,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
88670c09-ace5-49cb-960d-3eb7ddaf950e,sentence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
4eec9565-76b4-4dc4-91df-479c71dcef70,Paraphrasing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
dcc66657-38b2-4f66-88de-8edfab3399d5,sentence,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
d18c71ac-cd73-44a3-8e2f-0bfa247ba70b,sentence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
55384f51-96ba-4ce5-91b0-2a5f55e1b028,sentence,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ca30ecd2-9808-4e52-9c0e-4b9e0ffb3f8d,Paraphrasing,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2f595ff8-e86c-4de5-aa27-211501bc5a4d,sentence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0bb7c691-b1cc-4082-8f25-c56790ace781,sentence,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
811ef3dd-2646-4008-967e-009049c2624a,Paraphrasing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
e5d75f5b-9c53-4698-a49a-4559715831e3,Paraphrasing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
19b67b77-cb21-48dc-bde9-87f8670a1538,Paraphrasing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
